1000 -3.00000
   6.48348  2.77862 27.80740 1
   7.41754 22.01195 14.49626 1
   5.62257 21.77386 29.35857 1
   9.20162 10.64332 15.59849 1
  22.72178 11.65478 29.30458 1
   8.67491 19.26168 17.73633 1
  25.35480 23.06901 25.78627 1
  16.31729 28.93232 19.07178 1
   3.76892  3.54015 17.35876 1
  30.04280 30.92197 12.84993 1
   6.81799 25.90634  7.38784 1
  25.73704  7.18249  7.29492 1
   2.24684  8.74543  9.64437 1
  24.01588 26.30104 25.23416 1
   9.30539  9.41289 10.86492 1
  29.62936 24.51126 31.59480 1
  31.56318 22.29999  1.55679 1
   1.81444 17.00972  3.26953 1
  28.44193  9.77633 23.85880 1
  21.54742  7.93129  9.10996 1
  14.71277 18.25726 11.69584 1
  25.43601  4.86112 30.73560 1
  25.17605 16.30825 14.21836 1
  13.69803 31.62602 15.20492 1
   5.16342  6.61461 19.90161 1
   5.24024 22.28482 24.98163 1
  21.03055  5.27545 31.67802 1
   8.26271  0.37537  3.17753 1
  31.49665 11.39611 21.69967 1
  13.31796 12.48393  6.63042 1
   5.26735 27.30549 24.59129 1
  27.66921 12.64120 20.10967 1
  17.24915  0.66282 30.15932 1
  20.47005  6.73333 25.25464 1
   9.07593 25.12744 23.40545 1
  18.40195 14.28268 28.34252 1
  21.12899  8.73490 16.24701 1
  22.50594 20.07039  7.58131 1
  22.98226 19.35516 18.82687 1
   4.46999 12.09709  6.10387 1
  28.95463 28.14682  0.23226 1
   9.81561  5.70158 17.44600 1
   1.35731 28.56509 31.30816 1
   0.24077 13.10499 13.32967 1
  12.65516  9.32062 14.81152 1
  18.56576 26.90990 10.86203 1
  15.00980  9.09971  5.45161 1
  17.51111 14.50800  5.34992 1
   7.45499 11.18125 20.13394 1
  28.97286 22.22808  6.50839 1
  31.55316 12.62405 17.30336 1
  10.05041  6.00219 29.42241 1
   9.11966 29.89852 18.34493 1
  27.56842 26.53554 27.40432 1
   0.32084 27.18576  9.63691 1
  24.81388 24.42913 20.08671 1
  27.88467 13.02166  9.28601 1
  12.28540 14.86608 12.23484 1
  11.46620 10.48924 23.65940 1
  23.62410 22.48157  0.86565 1
  28.21750 20.66186 15.25967 1
  12.91177 20.47010  9.51803 1
   7.64337 18.36906 28.50606 1
  22.56227  7.45312 28.37373 1
  14.00501  1.37558 28.93589 1
  15.51431 12.84143 29.49235 1
  24.32810  1.25989 13.11349 -1
  16.81299  2.80744  5.73353 -1
   7.93977  2.41991 16.10990 -1
  17.28224  0.96921  9.23780 -1
   3.27595 17.28244 24.23521 -1
  14.78325 30.35032 17.16199 -1
  10.06160 11.47812 26.20410 -1
   9.83331  6.29735  5.61530 -1
  12.94169 26.05678 17.89648 -1
  17.29229 16.33454 16.34663 -1
  26.24048 19.26196 20.78366 -1
  21.54437  4.64597  2.68168 -1
   5.08873 19.03729  7.12697 -1
  27.03593  7.12048 31.58690 -1
   8.30232 18.74151 23.42021 -1
  13.40922  6.20649 18.09497 -1
  18.71955 14.27893 20.44545 -1
  29.77473  2.00941  2.84066 -1
   9.31304 17.37621 26.64534 -1
  23.38829 21.98516 19.54667 -1
  27.46267 17.62212  8.85996 -1
  14.69341 22.60820 29.61416 -1
   1.09424 17.10013  8.88772 -1
   6.99571 28.97022 18.51248 -1
  17.73727 12.69445 13.58634 -1
  23.68032  8.63465  2.24462 -1
  10.08800  0.25605  5.36757 -1
  10.13549 12.71651  0.51990 -1
  13.37828 13.47919 14.22266 -1
   7.60057  7.57477  9.51507 -1
  18.85097 29.60132 11.82876 -1
  13.35257  2.91070  7.34521 -1
   5.27604 12.20584  8.54167 -1
   5.03188 14.63238  0.63235 -1
  21.44627  0.45829 15.01339 -1
  31.45074 30.74102  4.93698 -1
  26.79777 21.06321 27.14676 -1
   1.27800 15.39215  0.80437 -1
  30.22115 18.00291 29.79363 -1
  14.20975  2.10598 15.90377 -1
  25.51962 20.55026  8.98041 -1
   2.93673  5.13962 26.02555 -1
  19.49446 20.39628 25.65753 -1
   4.16622  1.54289 19.29387 -1
  19.65816 30.76268 30.98980 -1
  21.09127 22.00239  5.17053 -1
   1.19121  8.79167  4.39255 -1
   0.72496 10.81627 28.14511 -1
   2.44743 25.53463 26.89294 -1
  26.27369 31.11645 24.73375 -1
   0.80932 29.40417  8.47279 -1
  23.01320 23.86013 26.24236 -1
   0.65500 23.83212 19.88640 -1
   0.99293 25.73387  7.14230 -1
  13.96548 15.78535 17.39739 -1
   3.86963 27.45108 30.49307 -1
   7.24687 28.05039  6.39415 -1
  12.60065 27.55460 29.51464 -1
  30.04387 22.89031 16.72131 -1
  18.53815 22.37628 18.94592 -1
   5.76091 25.66412  1.85844 -1
   9.94193 31.66019  0.87435 -1
  20.84995 20.12992 30.90742 -1
   8.51030 30.39983 23.67144 -1
  27.76348 10.89958 17.63663 -1
   5.22738 21.97678 13.06891 -1
   2.44517 27.38110  1.95749 -1
  11.06863  3.34286  3.50452 -1
   5.34019 20.38662 23.27798 -1
  23.73875  7.23458 12.18860 -1
   4.19619  6.50010 30.40673 -1
   1.51090 14.59758 11.32561 -1
  23.13464 29.87648  6.35378 -1
  11.36606 20.65145 11.93623 -1
  24.30479  2.81452  6.98273 -1
  17.10990  6.41502  7.57706 -1
  10.70780 27.77908  7.15187 -1
  16.71873 23.66402 14.05759 -1
  18.01177 31.80827 15.32272 -1
  23.11874 12.32663  5.88878 -1
  13.58325 22.23822 17.59766 -1
  30.78115  4.07247  6.41669 -1
   7.76593 24.53454 13.50855 -1
  26.80225 12.97361  6.86095 -1
  24.35569  4.37514 23.95771 -1
  19.58107  2.41044 21.83643 -1
  20.17928  5.34727 10.04312 -1
   4.45235 22.13354  4.46598 -1
  27.33843 15.71567 19.55751 -1
  22.35458 27.62459 24.08334 -1
  11.70218 19.05020 17.48350 -1
  11.50247  6.88139 27.55576 -1
  16.81659 20.38052 22.57015 -1
  25.10920 11.24935 10.20276 -1
  18.95455 19.95531  7.29605 -1
  17.11474 23.08904  1.33994 -1
  22.22077 23.12493  9.13788 -1
   8.82877 26.60734 31.22497 -1
   0.23935  1.85934 27.49229 -1
  29.22069  7.83638 13.04175 -1
  29.67620 11.53070 10.62381 -1
   4.92457 21.26009 16.39548 -1
   2.03764 21.82958 29.78000 -1
  26.96751 23.50680 19.28972 -1
  11.02189 16.99547 13.64847 -1
  14.52056 16.05159 21.15969 -1
  31.28724 16.91966 20.51702 -1
   7.35598 13.19551 28.23476 -1
   8.44746  1.12626 20.43978 -1
   6.21513  9.45204  6.17265 -1
  14.47397  4.68913  1.28475 -1
   5.89798 29.98639  2.73539 -1
  20.64255 23.85751 15.84911 -1
   7.96676  8.81147 19.21821 -1
  18.63967  7.46132 13.52137 -1
  23.78630 15.31195 25.18895 -1
  14.63803 13.35615  0.55185 -1
  24.95976 25.64250  9.86857 -1
  28.06500  3.65999 11.35091 -1
   4.52074 20.95263 26.92245 -1
  24.46358 25.28975 17.24526 -1
  30.61260 22.14847 25.21546 -1
  12.53523 23.70082  5.01807 -1
   3.23360  2.35785 31.37117 -1
   6.39228  2.86921  2.46445 -1
  10.81914 23.68913 20.88996 -1
   5.24533 31.22962 30.51176 -1
  12.12694  0.39736 30.09630 -1
  27.47003 31.02071 12.02400 -1
   3.21501 29.05444  5.55155 -1
